type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,24,201,0.728,4.156,31,31,31,23,23,23,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025629_ses-2_connectome.csv,34,378,0.674,4.123,50,50,50,33,33,33,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025630_ses-1_connectome.csv,24,208,0.754,7.141,28,28,28,23,23,23,0.002,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025631_ses-2_connectome.csv,6,14,0.933,3.606,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025631_ses-1_connectome.csv,33,295,0.559,3.708,41,41,41,32,32,32,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025630_ses-2_connectome.csv,31,308,0.662,3.795,36,36,36,30,30,30,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025635_ses-1_connectome.csv,2,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025633_ses-1_connectome.csv,22,171,0.74,5.762,28,28,28,24,24,24,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025632_ses-2_connectome.csv,23,230,0.909,4.69,27,27,27,22,22,22,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0025633_ses-2_connectome.csv,22,181,0.784,4.372,29,29,29,21,21,21,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0025635_ses-2_connectome.csv,5,10,1.0,3.0,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0025634_ses-2_connectome.csv,27,285,0.812,4.1,36,36,36,26,26,26,0.002,0.003,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0025638_ses-2_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
