type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025630_ses-1_connectome.csv,994,90156,0.183,1.876,2850,2850,2850,1101,1101,1101,27.866,29.266,60.407,26.954,28.67,60.257
Undirected,N/A,sub-0025629_ses-2_connectome.csv,992,82945,0.169,1.819,3049,3049,3049,1139,1139,1139,26.29,27.997,56.686,25.717,27.351,56.514
Undirected,N/A,sub-0025630_ses-2_connectome.csv,979,69014,0.144,1.903,2836,2836,2836,1208,1208,1208,20.681,22.448,45.244,20.063,21.667,44.815
Undirected,N/A,sub-0025629_ses-1_connectome.csv,974,107498,0.227,1.921,2739,2739,2739,1082,1082,1082,32.705,35.488,72.866,32.429,35.102,73.005
Undirected,N/A,sub-0025631_ses-1_connectome.csv,990,96222,0.197,1.862,2761,2761,2761,1058,1058,1058,30.302,33.019,71.769,33.072,58.642,132.851
Undirected,N/A,sub-0025632_ses-2_connectome.csv,973,99668,0.211,1.779,2655,2655,2655,1117,1117,1117,66.705,69.429,131.568,64.983,66.94,130.304
Undirected,N/A,sub-0025632_ses-1_connectome.csv,981,95063,0.198,1.874,2936,2936,2936,1130,1130,1130,65.072,65.693,125.069,61.053,64.477,124.421
Undirected,N/A,sub-0025631_ses-2_connectome.csv,992,101617,0.207,1.866,2845,2845,2845,1130,1130,1130,66.592,69.879,135.27,64.269,68.283,134.94
Undirected,N/A,sub-0025633_ses-1_connectome.csv,974,89709,0.189,1.767,2986,2986,2986,1122,1122,1122,63.783,64.717,121.913,59.412,61.636,120.223
Undirected,N/A,sub-0025634_ses-1_connectome.csv,982,90688,0.188,1.803,2886,2886,2886,1095,1095,1095,59.744,61.672,120.863,57.287,60.104,120.594
Undirected,N/A,sub-0025633_ses-2_connectome.csv,988,87967,0.18,1.788,2891,2891,2891,1088,1088,1088,61.688,63.199,118.102,59.542,60.691,117.457
Undirected,N/A,sub-0025634_ses-2_connectome.csv,977,84150,0.176,1.846,2901,2901,2901,1112,1112,1112,55.884,57.946,112.246,54.352,56.626,111.409
Undirected,N/A,sub-0025635_ses-1_connectome.csv,987,103889,0.214,1.847,2838,2838,2838,1112,1112,1112,72.799,74.028,141.952,69.391,68.997,131.237
Undirected,N/A,sub-0025635_ses-2_connectome.csv,991,119244,0.243,1.876,3025,3025,3025,1113,1113,1113,74.893,77.049,146.69,71.122,73.807,143.502
Undirected,N/A,sub-0025637_ses-2_connectome.csv,983,86173,0.179,1.875,2733,2733,2733,1143,1143,1143,52.888,53.759,106.452,49.898,52.324,103.389
Undirected,N/A,sub-0025636_ses-2_connectome.csv,995,116045,0.235,1.874,2758,2758,2758,1048,1048,1048,68.824,72.365,143.028,66.81,70.057,139.288
Undirected,N/A,sub-0025636_ses-1_connectome.csv,992,108087,0.22,1.835,2915,2915,2915,1094,1094,1094,68.004,71.212,140.545,67.009,69.152,138.015
Undirected,N/A,sub-0025637_ses-1_connectome.csv,973,77480,0.164,1.832,2795,2795,2795,1152,1152,1152,46.551,48.325,92.956,44.641,46.352,91.406
Undirected,N/A,sub-0025638_ses-1_connectome.csv,985,120247,0.248,1.913,2965,2965,2965,1086,1086,1086,72.56,79.336,159.043,76.055,78.2,160.094
Undirected,N/A,sub-0025638_ses-2_connectome.csv,985,99203,0.205,1.904,3053,3053,3053,1034,1034,1034,61.562,64.363,131.185,60.223,62.945,130.061
Undirected,N/A,sub-0025639_ses-2_connectome.csv,978,75844,0.159,1.901,2806,2806,2806,1122,1122,1122,50.314,51.669,99.245,47.557,48.83,99.531
Undirected,N/A,sub-0025639_ses-1_connectome.csv,993,84772,0.172,1.896,2897,2897,2897,1135,1135,1135,53.128,54.818,113.534,52.469,53.555,112.573
Undirected,N/A,sub-0025640_ses-1_connectome.csv,970,79058,0.168,1.799,2950,2950,2950,1087,1087,1087,50.396,47.931,92.848,44.674,46.279,92.663
Undirected,N/A,sub-0025640_ses-2_connectome.csv,992,104418,0.212,1.844,3068,3068,3068,1169,1169,1169,63.279,64.951,127.367,59.092,61.956,123.162
Undirected,N/A,sub-0025641_ses-1_connectome.csv,994,98638,0.2,1.804,2970,2970,2970,1081,1081,1081,62.939,64.84,125.83,59.434,62.474,124.524
Undirected,N/A,sub-0025641_ses-2_connectome.csv,988,100968,0.207,1.855,2838,2838,2838,1107,1107,1107,63.373,64.282,123.929,60.361,62.704,121.54
Undirected,N/A,sub-0025643_ses-2_connectome.csv,980,91179,0.19,1.84,2802,2802,2802,1067,1067,1067,54.761,58.725,110.801,52.475,55.096,109.379
Undirected,N/A,sub-0025644_ses-2_connectome.csv,986,88757,0.183,1.907,2764,2764,2764,1067,1067,1067,52.732,56.05,108.823,51.011,54.338,105.967
Undirected,N/A,sub-0025642_ses-1_connectome.csv,995,90444,0.183,1.864,2793,2793,2793,1089,1089,1089,55.569,57.286,114.629,53.35,54.864,113.722
Undirected,N/A,sub-0025645_ses-1_connectome.csv,975,107342,0.226,1.873,2718,2718,2718,1107,1107,1107,63.788,66.663,129.689,62.648,64.982,128.861
Undirected,N/A,sub-0025642_ses-2_connectome.csv,992,88542,0.18,1.904,2966,2966,2966,1073,1073,1073,51.746,53.56,108.912,50.004,51.057,107.384
Undirected,N/A,sub-0025644_ses-1_connectome.csv,992,104622,0.213,1.861,2867,2867,2867,1134,1134,1134,60.695,63.751,128.663,59.726,62.669,126.097
Undirected,N/A,sub-0025648_ses-1_connectome.csv,982,101020,0.21,1.855,2757,2757,2757,1130,1130,1130,62.887,63.69,136.248,66.767,63.02,124.861
Undirected,N/A,sub-0025645_ses-2_connectome.csv,988,92660,0.19,1.851,2861,2861,2861,1091,1091,1091,55.597,57.785,112.437,54.427,55.903,111.783
Undirected,N/A,sub-0025643_ses-1_connectome.csv,964,95347,0.205,1.823,2716,2716,2716,1168,1168,1168,59.619,61.051,113.309,63.209,65.393,119.024
Undirected,N/A,sub-0025647_ses-1_connectome.csv,969,99688,0.213,1.805,2789,2789,2789,1090,1090,1090,58.731,61.76,119.534,56.795,59.424,116.088
Undirected,N/A,sub-0025646_ses-2_connectome.csv,988,91937,0.189,1.871,2886,2886,2886,1140,1140,1140,56.257,58.024,113.72,54.264,55.987,112.236
Undirected,N/A,sub-0025649_ses-1_connectome.csv,985,83538,0.172,1.77,2978,2978,2978,1122,1122,1122,50.845,53.379,100.539,49.923,51.448,100.464
Undirected,N/A,sub-0025649_ses-2_connectome.csv,985,88555,0.183,1.789,3001,3001,3001,1092,1092,1092,55.248,56.344,107.728,52.225,54.839,106.615
Undirected,N/A,sub-0025648_ses-2_connectome.csv,972,87987,0.186,1.868,2841,2841,2841,1128,1128,1128,52.28,54.756,105.751,50.724,52.556,103.948
Undirected,N/A,sub-0025647_ses-2_connectome.csv,975,101139,0.213,1.799,2953,2953,2953,1104,1104,1104,62.226,64.269,123.807,60.598,62.638,121.732
Undirected,N/A,sub-0025646_ses-1_connectome.csv,983,86499,0.179,1.842,2974,2974,2974,1071,1071,1071,52.882,54.048,105.43,51.111,52.74,103.917
Undirected,N/A,sub-0025650_ses-1_connectome.csv,991,88666,0.181,1.85,2961,2961,2961,1098,1098,1098,52.496,54.097,108.531,49.616,52.271,106.549
Undirected,N/A,sub-0025650_ses-2_connectome.csv,988,88884,0.182,1.861,2919,2919,2919,1145,1145,1145,52.514,54.997,107.748,52.029,53.861,106.669
Undirected,N/A,sub-0025651_ses-1_connectome.csv,980,85277,0.178,1.749,2783,2783,2783,1089,1089,1089,54.222,55.976,105.62,52.001,53.655,103.665
Undirected,N/A,sub-0025651_ses-2_connectome.csv,988,86515,0.177,1.775,2836,2836,2836,1080,1080,1080,53.196,55.44,105.136,51.241,53.294,104.626
Undirected,N/A,sub-0025652_ses-1_connectome.csv,977,89644,0.188,1.809,3064,3064,3064,1155,1155,1155,55.889,56.588,108.572,52.867,55.27,107.656
Undirected,N/A,sub-0025655_ses-1_connectome.csv,985,97542,0.201,1.842,2983,2983,2983,1135,1135,1135,59.854,63.279,119.052,60.4,62.622,127.65
Undirected,N/A,sub-0025653_ses-1_connectome.csv,979,84180,0.176,1.904,2853,2853,2853,1165,1165,1165,54.566,57.719,109.591,53.353,55.891,110.499
Undirected,N/A,sub-0025656_ses-2_connectome.csv,979,80639,0.168,1.88,2504,2504,2504,1091,1091,1091,52.282,53.573,104.586,50.207,52.433,105.422
Undirected,N/A,sub-0025652_ses-2_connectome.csv,984,92755,0.192,1.867,2848,2848,2848,1116,1116,1116,60.67,62.937,122.15,60.165,61.745,122.599
Undirected,N/A,sub-0025653_ses-2_connectome.csv,994,96062,0.195,1.92,2886,2886,2886,1099,1099,1099,57.815,57.497,115.683,55.834,55.016,113.895
Undirected,N/A,sub-0025657_ses-2_connectome.csv,983,100057,0.207,1.901,2753,2753,2753,1053,1053,1053,58.871,61.975,124.348,58.03,60.828,123.466
Undirected,N/A,sub-0025657_ses-1_connectome.csv,988,96255,0.197,1.887,2786,2786,2786,1089,1089,1089,58.785,59.934,116.767,56.766,57.408,115.136
Undirected,N/A,sub-0025658_ses-2_connectome.csv,995,90708,0.183,1.974,2699,2699,2699,1072,1072,1072,54.471,55.973,110.453,52.79,54.47,109.445
Undirected,N/A,sub-0025658_ses-1_connectome.csv,983,98724,0.205,1.927,2796,2796,2796,1115,1115,1115,59.836,62.191,119.573,57.249,60.507,116.996
Undirected,N/A,sub-0025655_ses-2_connectome.csv,973,79860,0.169,1.773,2900,2900,2900,1108,1108,1108,50.365,51.731,95.591,47.944,50.352,94.592
Undirected,N/A,sub-0025654_ses-1_connectome.csv,976,86379,0.182,1.842,2681,2681,2681,1104,1104,1104,54.299,55.688,103.946,50.861,53.268,101.926
Undirected,N/A,sub-0025656_ses-1_connectome.csv,977,83916,0.176,1.822,2542,2542,2542,1125,1125,1125,51.574,53.891,102.228,48.774,51.429,99.313
Undirected,N/A,sub-0025659_ses-1_connectome.csv,964,68514,0.148,1.879,2760,2760,2760,1120,1120,1120,39.25,41.99,80.378,40.1,40.13,78.637
Undirected,N/A,sub-0025660_ses-1_connectome.csv,989,96032,0.197,1.907,2835,2835,2835,1094,1094,1094,60.377,63.115,120.87,58.277,60.766,118.994
Undirected,N/A,sub-0025661_ses-1_connectome.csv,986,94245,0.194,1.84,3048,3048,3048,1062,1062,1062,56.683,58.141,115.078,54.944,56.423,113.484
Undirected,N/A,sub-0025659_ses-2_connectome.csv,975,73410,0.155,1.851,2931,2931,2931,1160,1160,1160,44.592,46.417,88.915,43.218,44.213,87.061
Undirected,N/A,sub-0025660_ses-2_connectome.csv,969,74743,0.159,1.855,2796,2796,2796,1076,1076,1076,43.588,46.28,85.315,47.229,48.95,97.238
Undirected,N/A,sub-0025662_ses-1_connectome.csv,993,90477,0.184,1.731,2695,2695,2695,1135,1135,1135,62.277,63.917,121.35,55.018,55.758,112.728
